Log Timestamp,Event Timestamp,Node Name,Msg Length,Delay,Bandwidth
1677907121.396783,1677907121.396191,node2,272,0.0005922317504882812,459279.6650563607
1677907121.3969972,1677907121.3803442,node2,712,0.016653060913085938,42754.90276027947
1677907121.397042,1677907121.396174,node3,272,0.0008680820465087891,313334.43779181544
1677907121.397057,1677907121.38033,node3,696,0.016726970672607422,41609.44701958437
1677907121.397192,1677907121.396175,node1,272,0.0010170936584472656,267428.66572902014
1677907121.3972218,1677907121.38033,node1,696,0.0168917179107666,41203.62438425384
1677907121.4669209,1677907121.466538,node3,704,0.0003829002380371094,1838599.01369863
1677907121.672425,1677907121.6711712,node3,712,0.0012538433074951172,567854.0498193573
1677907121.8108249,1677907121.80921,node3,696,0.0016148090362548828,431010.7166691274
1677907121.9405088,1677907121.938277,node2,704,0.0022318363189697266,315435.31844888366
1677907122.038212,1677907122.03776,node2,696,0.0004520416259765625,1539681.2151898735
1677907122.7847931,1677907122.783498,node2,704,0.0012950897216796875,543591.6818851252
1677907123.7647119,1677907123.763988,node2,704,0.0007238388061523438,972592.231884058
1677907123.879959,1677907123.879626,node3,704,0.0003330707550048828,2113665.0078740157
1677907124.6070988,1677907124.605758,node2,704,0.0013408660888671875,525033.786628734
1677907124.65622,1677907124.6554601,node3,712,0.0007598400115966797,937039.3624097898
1677907125.274602,1677907125.272168,node1,704,0.0024340152740478516,289234.01077480655
1677907125.498473,1677907125.485041,node3,704,0.013432025909423828,52412.048990024494
1677907125.7478049,1677907125.7465348,node3,712,0.0012700557708740234,560605.3027970715
1677907125.8070478,1677907125.806367,node2,704,0.0006809234619140625,1033890.0616246499
1677907125.900598,1677907125.899937,node3,704,0.0006611347198486328,1064835.9235485033
1677907125.98979,1677907125.988977,node3,704,0.0008130073547363281,865920.8258064516
1677907126.160083,1677907126.1568918,node3,712,0.003191232681274414,223111.2774000747
1677907126.414827,1677907126.414433,node3,704,0.0003941059112548828,1786321.8487598307
1677907126.673434,1677907126.672775,node3,704,0.0006589889526367188,1068303.1895803183
1677907127.137815,1677907127.1363351,node2,712,0.0014798641204833984,481125.25342355407
1677907127.1758862,1677907127.175214,node3,704,0.0006721019744873047,1047460.0979070592
1677907127.399172,1677907127.3980548,node3,712,0.0011172294616699219,637290.7486128894
1677907127.665705,1677907127.664587,node2,704,0.0011179447174072266,629727.024098955
1677907128.014152,1677907128.0138528,node1,712,0.00029921531677246094,2379557.3290836653
1677907128.302301,1677907128.299435,node2,704,0.002866029739379883,245635.9717161634
1677907128.388761,1677907128.3876312,node3,712,0.0011298656463623047,630163.4201308293
1677907128.505813,1677907128.5026822,node3,712,0.003130674362182617,227427.03891554338
1677907129.037604,1677907129.0350301,node2,712,0.0025739669799804688,276615.82512041496
1677907129.053102,1677907129.0527098,node3,712,0.0003921985626220703,1815406.9592705166
1677907130.142394,1677907130.1411898,node2,712,0.0012042522430419922,591238.2593545832
1677907130.235063,1677907130.2336168,node3,712,0.0014462471008300781,492308.679195516
1677907130.285981,1677907130.2854872,node2,712,0.0004937648773193359,1441981.8676967649
1677907130.286193,1677907130.285863,node2,704,0.0003299713134765625,2133518.797687861
1677907130.3946218,1677907130.391507,node3,704,0.003114938735961914,226007.65526215077
1677907130.674856,1677907130.673105,node3,704,0.001750946044921875,402068.35729847493
1677907130.726227,1677907130.725709,node3,704,0.0005180835723876953,1358854.126092959
1677907130.80719,1677907130.8060281,node3,712,0.001161813735961914,612834.8959573158
1677907130.972929,1677907130.971786,node3,704,0.0011429786682128906,615934.5047976638
1677907131.412551,1677907131.41212,node3,696,0.00043082237243652344,1615514.988378528
1677907132.283177,1677907132.281635,node3,704,0.0015418529510498047,456593.47703726613
1677907132.4090922,1677907132.408538,node2,704,0.0005540847778320312,1270563.6901893287
1677907132.820957,1677907132.819608,node3,704,0.0013489723205566406,521878.75857193355
1677907132.897799,1677907132.8962078,node3,712,0.0015912055969238281,447459.46179202874
1677907132.957418,1677907132.95713,node3,696,0.0002880096435546875,2416585.7483443706
1677907133.640842,1677907133.63982,node3,696,0.0010218620300292969,681109.562295847
1677907133.747396,1677907133.744477,node3,704,0.0029189586639404297,241181.9011680144
1677907133.970148,1677907133.9678988,node3,712,0.0022492408752441406,316551.24528301886
1677907134.018472,1677907134.017875,node3,704,0.0005970001220703125,1179229.2396166134
1677907134.1469738,1677907134.146367,node3,704,0.0006067752838134766,1160231.8333988213
1677907134.626884,1677907134.626417,node2,704,0.00046706199645996094,1507294.5461970393
1677907134.859849,1677907134.859452,node2,704,0.00039696693420410156,1773447.457057057
1677907134.939751,1677907134.9383051,node1,712,0.001445770263671875,492471.05013192614
1677907135.044558,1677907135.0433888,node3,712,0.0011692047119140625,608960.9396411093
1677907135.099094,1677907135.098604,node3,704,0.0004899501800537109,1436880.7863746958
1677907136.07179,1677907136.0701451,node3,712,0.0016448497772216797,432866.2774315118
1677907136.123431,1677907136.122659,node3,704,0.0007719993591308594,911917.8554663373
1677907136.401698,1677907136.401439,node3,704,0.00025916099548339844,2716458.156393744
1677907136.442993,1677907136.4427211,node3,712,0.00027179718017578125,2619600.3929824564
1677907136.757329,1677907136.755821,node2,704,0.0015079975128173828,466844.27130434784
1677907137.1761768,1677907137.174509,node3,704,0.0016677379608154297,422128.6656182988
1677907137.469964,1677907137.468794,node3,704,0.0011699199676513672,601750.5636845323
1677907137.86542,1677907137.8639941,node2,712,0.0014259815216064453,499305.20782477845
1677907138.4115908,1677907138.411246,node2,704,0.0003447532653808594,2042040.121715076
